epoch,acc,loss,val_acc,val_loss
0,0.117536003496,0.0655972102027,0.11545902765,0.0653208809777
1,0.117567209125,0.0651177880127,0.115521437934,0.0648952924798
2,0.117489195051,0.0647106772051,0.113898770519,0.0645056897175
3,0.116053736094,0.0643350504394,0.112775385384,0.0641444811704
4,0.11692749372,0.0639845567778,0.114335642514,0.0638057436213
5,0.117208344386,0.0636555762674,0.113461898521,0.0634879994193
6,0.11600692765,0.0633471973823,0.112900205954,0.0631896867346
7,0.115585651652,0.0630586023323,0.112712975098,0.0629110002527
8,0.116225367057,0.0627862740532,0.113274667665,0.0626462182208
9,0.116584231796,0.0625282457551,0.114460463084,0.0623955015859
10,0.119314724376,0.062284394318,0.115646258503,0.0621584975332
11,0.119626780671,0.0620537969549,0.116520002496,0.0619345904833
12,0.119361532818,0.0618352220656,0.118829183049,0.0617210348874
13,0.12064096363,0.061626955613,0.120014978468,0.0615178859935
14,0.122060819772,0.0614298337193,0.123822005867,0.0613256419489
15,0.130985629808,0.0612423073602,0.134119702927,0.0611425953431
16,0.136899096597,0.06106446203,0.141920988579,0.0609692630515
17,0.170429545487,0.0608968679986,0.178743056854,0.0608064165122
18,0.178823859825,0.0607385633588,0.183673469386,0.0606522645046
19,0.185111794168,0.0605898421175,0.191786806464,0.0605079651456
20,0.190323134294,0.0604499026542,0.196467577855,0.0603716257949
21,0.195550077235,0.0603180953296,0.201460400672,0.0602438826346
22,0.198842271141,0.0601950247338,0.207077326348,0.0601246699024
23,0.204958574528,0.0600802101903,0.214628970859,0.0600133286522
24,0.215630899815,0.0599733667397,0.222367846226,0.0599101817696
25,0.22212167075,0.0598747056255,0.228234413036,0.0598148681139
26,0.226802515175,0.0597834088629,0.232603133001,0.0597267095217
27,0.231608182113,0.0596990581648,0.233664107841,0.0596451195193
28,0.235836544908,0.059621194233,0.240778880341,0.059570134573
29,0.243169867845,0.0595500045568,0.245896523756,0.0595016212386
