epoch,acc,loss,val_acc,val_loss
0,0.128569199563,0.0655487493683,0.115708668787,0.0660662139686
1,0.128569199577,0.0655487499414,0.115708668787,0.0660662139686
2,0.128569199577,0.0655487493659,0.115708668787,0.0660662139686
3,0.128569199564,0.065548749359,0.115708668787,0.0660662139686
4,0.128569199565,0.0655487493462,0.115708668787,0.0660662139686
5,0.128569199563,0.0655487497775,0.115708668787,0.0660662139686
6,0.128569199563,0.0655487497554,0.115708668787,0.0660662139686
7,0.128569199565,0.0655487490579,0.115708668787,0.0660662139686
8,0.128569199564,0.0655487497891,0.115708668787,0.0660662139686
9,0.128569199565,0.0655487498705,0.115708668787,0.0660662139686
10,0.128569199577,0.0655487495142,0.115708668787,0.0660662139686
11,0.128569199564,0.0655487498844,0.115708668787,0.0660662139686
