epoch,acc,loss,val_acc,val_loss
0,0.322931456833,0.0487913579415,0.38962741059,0.0448536674386
1,0.401398012196,0.0440237166347,0.418024090378,0.043558084107
2,0.425254715946,0.0430861927356,0.429445172598,0.0429219568908
3,0.439687319592,0.0424745973102,0.433501841111,0.0429282741559
4,0.448939788733,0.0420586295157,0.441053485577,0.0425052042282
5,0.456179494782,0.0417045001867,0.448168258092,0.0421328968279
6,0.46468302882,0.0414097245001,0.450727079786,0.0421570461144
7,0.467647563632,0.0411943450037,0.451600823834,0.0419806337982
8,0.472843300936,0.0410475227976,0.454908568966,0.0419775075731
9,0.474387979587,0.0409217065468,0.462959495688,0.0418226171397
