epoch,acc,loss,val_acc,val_loss
0,0.00405911330049,0.00311252704506,0.00346784363178,0.0031122684938
1,0.00405911330049,0.00311252704075,0.00346784363178,0.0031122684938
2,0.00405911330049,0.00311252704989,0.00346784363178,0.0031122684938
3,0.00405911330049,0.00311252704426,0.00346784363178,0.0031122684938
4,0.00405911330152,0.00311252704575,0.00346784363178,0.0031122684938
5,0.00405911330049,0.00311252704419,0.00346784363178,0.0031122684938
6,0.00405911330049,0.0031125270488,0.00346784363178,0.0031122684938
7,0.00405911330049,0.00311252704389,0.00346784363178,0.0031122684938
8,0.00405911330049,0.00311252704757,0.00346784363178,0.0031122684938
9,0.00405911330049,0.00311252704482,0.00346784363178,0.0031122684938
10,0.00405911330049,0.00311252704701,0.00346784363178,0.0031122684938
