epoch,acc,loss,val_acc,val_loss
0,0.00533990147783,0.00311089239246,0.00496532156368,0.00311120343248
1,0.00533990147783,0.00311089239804,0.00496532156368,0.00311120343248
2,0.00533990147783,0.00311089239595,0.00496532156368,0.00311120343248
3,0.00533990147783,0.00311089239792,0.00496532156368,0.00311120343248
4,0.00533990147783,0.00311089239735,0.00496532156368,0.00311120343248
5,0.00533990147783,0.00311089239631,0.00496532156368,0.00311120343248
6,0.00533990147783,0.00311089239805,0.00496532156368,0.00311120343248
7,0.00533990147783,0.0031108923987,0.00496532156368,0.00311120343248
8,0.00533990147783,0.00311089239008,0.00496532156368,0.00311120343248
9,0.00533990147783,0.00311089239672,0.00496532156368,0.00311120343248
10,0.00533990147783,0.00311089240001,0.00496532156368,0.00311120343248
