epoch,acc,loss,val_acc,val_loss
0,0.00953732166785,0.00311907308109,0.0100094577554,0.00311491716874
1,0.0119019468748,0.00311287963684,0.0104823455233,0.00311107096975
2,0.0135571845237,0.00310972685654,0.0103247162673,0.00310858996399
3,0.0127689761173,0.00310754295598,0.0104035308953,0.00310676994829
4,0.0129266177977,0.0031058830811,0.0102459016393,0.00310537999603
5,0.0149759596437,0.00310508827211,0.0115857503153,0.00310525624081
6,0.0159218097265,0.00310495628097,0.0116645649433,0.00310513031731
7,0.0164735556122,0.00310482151706,0.0117433795712,0.00310500249153
8,0.0161582722472,0.00310474340911,0.0117433795712,0.0031049897886
9,0.0162370930874,0.00310472959062,0.0117433795712,0.00310497648584
10,0.016079451407,0.00310471543249,0.0118221941992,0.00310496304743
